"","...1","species","longitude","latitude","genus","state","province","locality","elevation.in.m","principal.collector","determinator","herbarium","collection.code","picture.code.link","note","original.name","x","link2","gbifid","link","datasetkey","countrycode","stateprovince","elevation","basisofrecord","institutioncode","collectioncode","catalognumber","recordnumber","identifiedby","recordedby","tae","region","location","elevation2","main.collector","note1","note2","x.1","scientificname","typestatus","altitude.in.m","determined.by","verbatimscientificname","x.2","occurrenceid","kingdom","phylum","class","order","family","infraspecificepithet","taxonrank","verbatimscientificnameauthorship","occurrencestatus","individualcount","publishingorgkey","coordinateuncertaintyinmeters","coordinateprecision","elevationaccuracy","depth","depthaccuracy","eventdate","day","month","year","taxonkey","specieskey","dateidentified","license","rightsholder","establishmentmeans","lastinterpreted","mediatype","issue","cataloguenumber.colectioncode","note.1"
"2693",2725,"meyeri-johannis",37.493167,-3.1595,"Helichrysum",NA,NA,"Mt Kilimanjaro: Betw. Masheu and Mahundi","3024","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571253872",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2694",2726,"meyeri-johannis",37.233333,-3.033333,"Helichrysum",NA,NA,"Kilimanjaro-W","3430","Zogg E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2515461254",NA,"Tanzania",NA,NA,NA,"Naturalis Biodiversity Center (NL) - Botany",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2695",2727,"meyeri-johannis",37.416667,-0.133333,"Helichrysum",NA,NA,"Kenya K4, Mt. Kenya, E side, moorlands above Urumandi Hut.",NA,"Beentje HJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2513014290",NA,"Kenya",NA,NA,NA,"Naturalis Biodiversity Center (NL) - Botany",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2696",2728,"meyeri-johannis",29.92944,0.38361,"Helichrysum",NA,NA,"Uganda, Ruwenzori Mountains, nahe John Matte hut","3250","Albert,R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/1831522754",NA,"Uganda",NA,NA,NA,"Natural History Museum, Vienna - Herbarium W",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697",2729,"meyeri-johannis",39.725177,6.714354,"Helichrysum",NA,NA,NA,NA,"V. Pavlov",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/1801080936",NA,"Ethiopia",NA,NA,NA,"Moscow University Herbarium (MW)",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2698",2730,"meyeri-johannis",37.518758,-3.176984,"Helichrysum",NA,NA,"Mt. Kilimanjaro, Moundy Crater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/1288072264",NA,"Tanzania",NA,NA,NA,"African Plants - a photo guide",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2699",2731,"meyeri-johannis",38.303833,13.212874,"Helichrysum",NA,NA,"Simien Mountains National-Park",NA,"-1,3E+09",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/922044129",NA,"Ethiopia",NA,NA,NA,"naturgucker",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2700",2732,"meyeri-johannis",37.337036,-3.047268,"Helichrysum",NA,NA,"Kilimanjaro NP",NA,"3,24E+08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/922039252",NA,"Tanzania",NA,NA,NA,"naturgucker",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2701",2733,"newii",37.43898,-3.13862,"Helichrysum",NA,NA,"Kilimanjaro, 300m SW from Horombo hut","3719","Speciation Clock",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://docs.google.com/spreadsheets/d/1RMAA2QY7u7IiI69g-Ijwus7P6a86Q4rWOCcvP6DNPDo/edit#gid=0",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2702",2734,"newii",36.759567,-3.218617,"Helichrysum",NA,NA,"Mt Meru","3741","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://docs.google.com/spreadsheets/d/1RMAA2QY7u7IiI69g-Ijwus7P6a86Q4rWOCcvP6DNPDo/edit#gid=0",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2703",2735,"newii",36.753933,-3.221667,"Helichrysum",NA,NA,"Mt Meru: Above Rhino Viewpoint","3936","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://docs.google.com/spreadsheets/d/1RMAA2QY7u7IiI69g-Ijwus7P6a86Q4rWOCcvP6DNPDo/edit#gid=0",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2704",2736,"newii",29.249454,-1.522039,"Helichrysum",NA,NA,NA,NA,"Lisowski S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3478144869",NA,"Congo",NA,NA,NA,"84b18cce-083a-4464-bee8-25b2083a17Congo",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2705",2737,"newii",37.438654,-3.139156,"Helichrysum",NA,NA,NA,NA,"Walter H., Walter E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3476791998",NA,"Tanzania",NA,NA,NA,"Natural History Collections of the Faculty of Biology AMU",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2706",2738,"newii",34.539471,1.149524,"Helichrysum",NA,NA,NA,NA,"Lisowski S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3476791997",NA,"Uganda",NA,NA,NA,"Natural History Collections of the Faculty of Biology AMU",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2707",2739,"newii",34.54153,1.149196,"Helichrysum",NA,NA,NA,NA,"Lisowski S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3476788981",NA,"Uganda",NA,NA,NA,"Natural History Collections of the Faculty of Biology AMU",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2708",2740,"newii",37.513386,-3.181738,"Helichrysum",NA,NA,NA,NA,"Walter H., Walter E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3476760002",NA,"Tanzania",NA,NA,NA,"Natural History Collections of the Faculty of Biology AMU",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2709",2741,"newii",37.275006,-3.087917,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Stephane Philizot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3456222365",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2710",2742,"newii",29.491395,-1.462738,"Helichrysum",NA,"AmajyarUgandauru",NA,NA,"Marco Schmidt",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415945942",NA,"Rwanda",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2711",2743,"newii",37.352081,-3.111264,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Stephane Philizot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415944384",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2712",2744,"newii",37.35975,-3.0499,"Helichrysum",NA,"Kilimanjaro",NA,NA,"mikKenial65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415927346",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2713",2745,"newii",37.275783,-3.086814,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Stephane Philizot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415926369",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2714",2746,"newii",37.230297,-2.992797,"Helichrysum",NA,"Kilimanjaro",NA,NA,"paulshaffner",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415736345",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2715",2747,"newii",37.454432,-3.141005,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Ed Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415642467",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2716",2748,"newii",37.290011,-3.069056,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Stephane Philizot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415456373",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2717",2749,"newii",37.378339,-3.105167,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Stephane Philizot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415455389",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2718",2750,"newii",37.328908,-3.091039,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Stephane Philizot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415438382",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2719",2751,"newii",37.454071,-3.078024,"Helichrysum",NA,"Kilimanjaro",NA,NA,"linkie",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415399333",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2720",2752,"newii",37.452508,-3.140653,"Helichrysum",NA,"Kilimanjaro",NA,NA,"David Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415384489",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2721",2753,"newii",37.278492,-3.084375,"Helichrysum",NA,"Kilimanjaro",NA,NA,"Stephane Philizot",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3415372378",NA,"Tanzania",NA,NA,NA,"iNaturalist Research-grade Observations",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2722",2754,"newii",37.2833,-0.05,"Helichrysum",NA,NA,"Sirimon Track, NW slope of Mt. Kenianya, on the Sirimon Track.","582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/3017828739",NA,"Kenya",NA,NA,NA,"Plant species occurrence in the upper to mid Tana River Basin based on specimen records at the East African Herbarium (EA), Nairobi, Kenya",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2723",2755,"newii",37.278167,-3.062783,"Helichrysum",NA,NA,"Mt Kilimanjaro: Shira Plateau","3900","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571293969",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2724",2756,"newii",37.275167,-3.052333,"Helichrysum",NA,NA,"Mt Kilimanjaro: Shira Plateau","3971","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571291732",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2725",2757,"newii",37.35495,-3.109167,"Helichrysum",NA,NA,"Mt Kilimanjaro: Karanga","4053","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571284836",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2726",2758,"newii",37.442,-3.146667,"Helichrysum",NA,NA,"Mt Kilimanjaro: Mawenzi","3818","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571284819",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727",2759,"newii",37.421117,-3.109967,"Helichrysum",NA,NA,"Mt Kilimanjaro: S of Mawenzi Peak","4109","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571284101",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2728",2760,"newii",37.3234,-3.086217,"Helichrysum",NA,NA,"Mt Kilimanjaro: Barranco","4155","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571280424",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2729",2761,"newii",36.769,-3.217,"Helichrysum",NA,NA,"Mt Meru: Saddle Hut area","3594","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571278379",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2730",2762,"newii",37.24155,-3.0056,"Helichrysum",NA,NA,"Mt Kilimanjaro: Shira Plateau","3536","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571268738",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2731",2763,"newii",37.433667,-3.135,"Helichrysum",NA,NA,"Mt Kilimanjaro: Horombo","3817","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571267856",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2732",2764,"newii",37.243,-3.03425,"Helichrysum",NA,NA,"Mt Kilimanjaro: Shira Plateau near Mt Simba","3636","AFROALP II team",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2571221176",NA,"Tanzania",NA,NA,NA,"NHMO DNA Bank Vascular plants collection",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2733",2765,"newii",29.45,-1.5,"Helichrysum",NA,"Nord-Kivu","versant N du Karisimbi, Albert National Park.",NA,"Lebrun J-PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2517508699",NA,"Congo",NA,NA,NA,"Naturalis Biodiversity Center (NL) - Botany",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2734",2766,"newii",29.666667,-1.383333,"Helichrysum",NA,NA,"Western Province, Kigezi District, Virunga-Keniatte, Muhavura, Gipfelzone.",NA,"Stauffer HU",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2517360958",NA,"Uganda",NA,NA,NA,"Naturalis Biodiversity Center (NL) - Botany",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2735",2767,"newii",29.416667,-1.5,"Helichrysum",NA,"Nord-Kivu","massif du Karisimbi, plateau de Rukumi.",NA,"Auquier PH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2516002636",NA,"Congo",NA,NA,NA,"Naturalis Biodiversity Center (NL) - Botany",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2736",2768,"newii",29.2,-1.416667,"Helichrysum",NA,"Nord-Kivu","Virunga Keniatte, Nyamuragira, Kraterboden.",NA,"Stauffer HU",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/2515930215",NA,"Congo",NA,NA,NA,"Naturalis Biodiversity Center (NL) - Botany",NA,NA,NA,NA,NA,"EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
